"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"SUNTAALIE-NYUBULLO","","LB-2_vbg61ul19e_2x","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAA-MWOFOPAALA","","LB-2_vbg61ul19e_2y","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAANONTAA- ZUMUO","","LB-2_vbg61ul19e_2z","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAANONTAA-ZUMUOPARE","","LB-2_vbg61ul19e_30","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"SUNTAA-NYANGUR","","LB-2_vbg61ul19e_31","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"TABIERE-TANTUO","","LB-2_vbg61ul19e_32","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TANBIER-TANTUO","","LB-2_vbg61ul19e_33","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TANSLEM-DUMANJE","","LB-2_vbg61ul19e_34","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TAZINGWIELE-TAAYAAGURI","","LB-2_vbg61ul19e_35","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIEKANGIRI-NYUBULLO","","LB-2_vbg61ul19e_36","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Tienatuona-Samoa","","LB-2_vbg61ul19e_37","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"TIEROLANGTAA2 -PIINA 2","","LB-2_vbg61ul19e_38","","dga","","2","5","","","","","","","","","","","","Communities","l","MEDA"
"TIEROLANGTAA-TARPOMO","","LB-2_vbg61ul19e_39","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Tierolangtaa-Tarpomo","","LB-2_vbg61ul19e_3a","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"TIERONGLANGTAA-PIINA","","LB-2_vbg61ul19e_3b","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIERULANGTAA-GYIR-GAN","","LB-2_vbg61ul19e_3c","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA 1-DANBOLGUAGN","","LB-2_vbg61ul19e_3d","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA 2 -MONYUPELLE","","LB-2_vbg61ul19e_3e","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA 2-MONYUPELLE","","LB-2_vbg61ul19e_3f","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA KETUO","","LB-2_vbg61ul19e_3g","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA-DAHILE","","LB-2_vbg61ul19e_3h","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA-DANBOLGUAGN","","LB-2_vbg61ul19e_3i","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA-GUO","","LB-2_vbg61ul19e_3j","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA-KONSI","","LB-2_vbg61ul19e_3k","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAALIENOBO-UL-KPONG","","LB-2_vbg61ul19e_3l","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"EBOLA Awareness","","LB-2_rgpwa8k04a_5g","LBG","dga","","6","895","Lecture","","","","","Fidelis","","","","","","Health, General Health","l","MEDA"
"EBOLA Awareness ","","LB-2_rgpwa8k04a_5h","LBG","ssl","","6","2195","Lecture","","","","","Mr. George","","","","","","Health, General Health","l","MEDA"
"i2-0","","LB-2_rgpwa8k04a_5i","","dga","","5","4","","","","","","","","","","","0","TB Categories","l","MEDA"
"2-0","","LB-2_rgpwa8k04a_5j","","dga","","3","2","","","","","","","","","","","","TB Categories","l","MEDA"
"Appropriate and timely harvesting of soybeans","","LB-2_rgpwa8k04a_84","","dga","","4","532","Interview","","01-March-2015","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"Appropriate threshing and drying techniques of soybeans","","LB-2_rgpwa8k04a_85","","dga","","4","432","Interview","","01-March-2015","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"Appropriate treatment and storage of soybeans","","LB-2_rgpwa8k04a_86","","dga","","3","792","Interview","","","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"Dry Season Farming Related Activities","","LB-2_rgpwa8k04a_87","","dga","","4","640","Interview","","01-March-2015","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"APPRORIATE THRESING AND DRYING TECHNIQUES OF SOYABEANS","","LB-2_rgpwa8k04a_88","","ssl","","4","312","Interview","","01-March-2015","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"DRY SEASON FARMING RELATED ACTIVITIES","","LB-2_rgpwa8k04a_89","","ssl","","4","426","Interview","","01-March-2015","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"APPRORIATE AND TIMELY HARVESTING OF SOYABEANS","","LB-2_rgpwa8k04a_8a","","ssl","","4","360","Interview","","01-March-2015","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"Appropriate time of selling soybeans produce","","LB-2_rgpwa8k04a_8b","","dga","","4","463","Interview","","01-March-2015","","","","","","","","","Value Chain, Business","l","MEDA"
"Developing a habit of selling in bulk","","LB-2_rgpwa8k04a_8c","","dga","","4","1257","Interview","","01-March-2015","","","","","","","","","Value Chain, Business","l","MEDA"
"Price observation and selecting a suitable buyer","","LB-2_rgpwa8k04a_8d","","dga","","4","714","Interview","","01-March-2015","","","","","","","","","Value Chain, Business","l","MEDA"
"APPROPRIATE TIME FOR SELLING SOYA BEANS PRODUCTS","","LB-2_rgpwa8k04a_8e","","ssl","","4","284","Interview","","01-march-2015","","","","","","","","","Value Chain, Business","l","MEDA"
"DEVELOPING THE HABIT OF SELLING IN BULK","","LB-2_rgpwa8k04a_8f","","ssl","","5","1719","Interview","","01-March-2015","","","","","","","","","Value Chain, Business","l","MEDA"
"PRICE OBSERVATION AND SELECTING A SUITABLE BUYER","","LB-2_rgpwa8k04a_8g","","ssl","","4","415","Interview","","01-March-2015","","","","","","","","","Value Chain, Business","l","MEDA"
"managing inflows and outflows of Income","","LB-2_rgpwa8k04a_8h","","dga","","4","642","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"Paying back bank and VSLA loans and preparing for new loans.","","LB-2_rgpwa8k04a_8i","","dga","","4","734","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"Preparing production Financing plans","","LB-2_rgpwa8k04a_8j","","dga","","4","642","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"Saving Objectively","","LB-2_rgpwa8k04a_8k","","dga","","4","580","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"MANAGING INFLOWS AND OUT FLOWS OF INCOME","","LB-2_rgpwa8k04a_8l","","ssl","","4","726","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"PAYING BACK BANK  AND VLSA LOANS AND PREPARING FOR NEW LOANS","","LB-2_rgpwa8k04a_8m","","ssl","","4","747","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"PREPARING PRODUCTION FINICING PLANS","","LB-2_rgpwa8k04a_8n","","ssl","","5","713","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"SAVING OBJECTIVELY","","LB-2_rgpwa8k04a_8o","","ssl","","4","607","Interview","","01-March-2015","","","","","","","","","Financial Services, Business","l","MEDA"
"After six months","","LB-2_rgpwa8k04a_8p","","dga","","3","364","Song","","","","","","","","","","","Health, Nutrition","l","MEDA"
"Exclusive breastfeeding is good","","LB-2_rgpwa8k04a_8q","","dga","","5","424","Song","","01-March-2016","","","","","","","","","Health, Nutrition","l","MEDA"
"PREVENTION OF GOITRE USING IODATED SALT","","LB-2_rgpwa8k04a_8r","","dga","","5","378","Song","","01-March-2015","","","","","","","","","Health, Nutrition","l","MEDA"
"EXCLUSIVE BREASTFEEDING","","LB-2_rgpwa8k04a_8s","","ssl","","4","521","Song","","15-March-2015","","","","","","","","","Health, Nutrition","l","MEDA"
"Prevention of Goitre by Using Iodated salt","","LB-2_rgpwa8k04a_8t","","ssl","","6","353","Song","","01-March-2015","","","","","","","","","Health, Nutrition","l","MEDA"
"AFTER SIX MONTHS..","","LB-2_rgpwa8k04a_8u","","ssl","","4","404","Song","","01-March-2015","","","","","","","","","Health, Nutrition","l","MEDA"
"Enrolling female in school","","LB-2_rgpwa8k04a_8v","","dga","","6","434","Drama","","01-March-2015","","","","","","","","","Society and Culture, Gender","l","MEDA"
"Stop child marriage here","","LB-2_rgpwa8k04a_8w","","dga","","5","506","Drama","","01-March-2015","","","","","","","","","Society and Culture, Gender","l","MEDA"
"STOP CHILD MARRAGE","","LB-2_rgpwa8k04a_8x","","ssl","","4","373","Drama","","01-March-2015","","","","","","","","","Society and Culture, Gender","l","MEDA"
"ENROLING FEMALES IN SCHOOL","","LB-2_rgpwa8k04a_8y","","ssl","","4","322","Drama","","01-March-2015","","","","","","","","","Society and Culture, Gender","l","MEDA"
"APPROPRIATE TREATMENT AND STORAGE OF SOYA","","LB-2_kipjhmhc9s_1","","ssl","","3","684","Interview","","","","","","","","","","","Agriculture, General Agriculture","l","MEDA"
"TIETAA-NANDOMKPEE","","LB-2_vbg61ul19e_3m","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAANYE-KULKARNI","","LB-2_vbg61ul19e_3n","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAANYE-ZUMARAA","","LB-2_vbg61ul19e_3o","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA-TOM","","LB-2_vbg61ul19e_3p","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA-UL-DANTIE","","LB-2_vbg61ul19e_3q","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIMENG-ENYE-KULKARNI","","LB-2_vbg61ul19e_3r","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIMILE-NANDOMKPEE","","LB-2_vbg61ul19e_3s","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIMINGENYE-TANTUO","","LB-2_vbg61ul19e_3t","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Timing-inye-Tantuo","","LB-2_vbg61ul19e_3u","","dga","","4","3","","","","","","","","","","","","Communities","l","MEDA"
"TIMINGPAANYOGENYE-TANTUO","","LB-2_vbg61ul19e_3v","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIMINGYINYE-TANTUO","","LB-2_vbg61ul19e_3w","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"WASUNTI-KOKOLIGU","","LB-2_vbg61ul19e_3x","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"WONTAA-PIINA 2","","LB-2_vbg61ul19e_3y","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Wontaa-Piina 2","","LB-2_vbg61ul19e_3z","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"YI-NYE-GYRIGAN","","LB-2_vbg61ul19e_40","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"ZANYAA-VENNE","","LB-2_vbg61ul19e_41","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"ZIBONYA-DAMBOLGUAGN","","LB-2_vbg61ul19e_42","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"ZORETUURE-DABAGTENG","","LB-2_vbg61ul19e_43","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"AMTEGNA-KOGRI 2","","LB-2_vbg61ul19e_44","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Aamakavana -Naawie","","LB-2_vbg61ul19e_45","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Aaperti - Naawie","","LB-2_vbg61ul19e_46","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Acharoti 2 - Lambussie","","LB-2_vbg61ul19e_47","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Achoweri - Hapaa","","LB-2_vbg61ul19e_48","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Akana - Chum","","LB-2_vbg61ul19e_49","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Akaweri-Buu","","LB-2_vbg61ul19e_4a","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Amachono - Samoa","","LB-2_vbg61ul19e_4b","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Amakanna - Buu","","LB-2_vbg61ul19e_4c","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Asummiwiisena - Kubin","","LB-2_vbg61ul19e_4d","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Babolkata - Samoa","","LB-2_vbg61ul19e_4e","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Bakaweri - Chum","","LB-2_vbg61ul19e_4f","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Bakaweri - Hapaa","","LB-2_vbg61ul19e_4g","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Basuka - Chum","","LB-2_vbg61ul19e_4h","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Chemkning-Dahile","","LB-2_vbg61ul19e_4i","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Chonang - Dindee","","LB-2_vbg61ul19e_4j","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Doona - Ketu","","LB-2_vbg61ul19e_4k","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Doona 2 -- Billaw","","LB-2_vbg61ul19e_4l","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Kaana - Koro","","LB-2_vbg61ul19e_4m","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Kadowoweri 1 - Dahile","","LB-2_vbg61ul19e_4n","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Kadowoweri 2 - Dahile","","LB-2_vbg61ul19e_4o","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Kaninti - Dahile","","LB-2_vbg61ul19e_4p","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Kupemmeh - Lambussie","","LB-2_vbg61ul19e_4q","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Lammeh - Kadilligo","","LB-2_vbg61ul19e_4r","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Machoweri - Samoa Gbal","","LB-2_vbg61ul19e_4s","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Nuomudung - Buu","","LB-2_vbg61ul19e_4t","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Osifielowie - Buu","","LB-2_vbg61ul19e_4u","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Pedagameh - Piina No1","","LB-2_vbg61ul19e_4v","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Pedowomeh - Buu","","LB-2_vbg61ul19e_4w","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Perameh - Kohuo","","LB-2_vbg61ul19e_4x","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Perdangmeh - Dindee","","LB-2_vbg61ul19e_4y","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Perdongmeh - Kongo","","LB-2_vbg61ul19e_4z","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Pero 2 - Kokya","","LB-2_vbg61ul19e_50","","ssl","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"Pero1 - Kokya","","LB-2_vbg61ul19e_51","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Perriweri - Hapaa","","LB-2_vbg61ul19e_52","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Sukgkanamuna - Hapaa","","LB-2_vbg61ul19e_53","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Sumudi 1 - Banwon","","LB-2_vbg61ul19e_54","","ssl","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"Sumudi 2 - Banwon","","LB-2_vbg61ul19e_55","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Sumudi 3 - Banwon","","LB-2_vbg61ul19e_56","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Sumuwengndonekey - Kongo","","LB-2_vbg61ul19e_57","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Tikneh - Billaw","","LB-2_vbg61ul19e_58","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Tonuomeh 1 - Banwon","","LB-2_vbg61ul19e_59","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Tonuomeh- Dindee","","LB-2_vbg61ul19e_5a","","ssl","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"Tunnomeh - Kohuo","","LB-2_vbg61ul19e_5b","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"Chebaa-Kandaayi","","LB-2_vbg61ul19e_5c","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Enye-Fian","","LB-2_vbg61ul19e_5d","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"Guonuo-Mwinelanaa","","LB-2_vbg61ul19e_5e","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Guonuo-mwinsongbo","","LB-2_vbg61ul19e_5f","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Gyili-Mwinelakpieo","","LB-2_vbg61ul19e_5g","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Kataa-Enye","","LB-2_vbg61ul19e_5h","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"Kojokpere Nuntaa #2","","LB-2_vbg61ul19e_5i","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Kojokpere-Nuntaa #1","","LB-2_vbg61ul19e_5j","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Kojokpere-Nuntaa #2","","LB-2_vbg61ul19e_5k","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Penetobo-Numbo","","LB-2_vbg61ul19e_5l","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Penetobo-Songtinbuoro","","LB-2_vbg61ul19e_5m","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Penetobo-Tombon-e-yeme","","LB-2_vbg61ul19e_5n","","dga","","4","3","","","","","","","","","","","","Communities","l","MEDA"
"Pulbaa-Ekabanye","","LB-2_vbg61ul19e_5o","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Pulbaa-Yelwontaa","","LB-2_vbg61ul19e_5p","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Sazie-Sunmaali","","LB-2_vbg61ul19e_5q","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"Sazie-Tietaa","","LB-2_vbg61ul19e_5r","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Sazie-Tonkabanye ","","LB-2_vbg61ul19e_5s","","dga","","4","3","","","","","","","","","","","","Communities","l","MEDA"
"Sazie-Tonkabanye C","","LB-2_vbg61ul19e_5t","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tabiesi-Enye","","LB-2_vbg61ul19e_5u","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"Tabiesi-Mwinemandeli","","LB-2_vbg61ul19e_5v","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tabiesi-Mwinnasunti","","LB-2_vbg61ul19e_5w","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tabiesi-Suntaanontaa","","LB-2_vbg61ul19e_5x","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tafali-Kyulbale","","LB-2_vbg61ul19e_5y","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tafali-Lambonuma","","LB-2_vbg61ul19e_5z","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tafali-Suntaakaabiiri","","LB-2_vbg61ul19e_60","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tibani-Kaalang","","LB-2_vbg61ul19e_61","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tibani-Kanyirinuma","","LB-2_vbg61ul19e_62","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Tibani-Sunmanbo","","LB-2_vbg61ul19e_63","","dga","","3","2","","","","","","","","","","","","Communities","l","MEDA"
"Tibani-Yellebeyaga","","LB-2_vbg61ul19e_64","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Timing-inye-Tantuo","","LB-2_vbg61ul19e_65","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Zambogu-Lan-Tiehuu","","LB-2_vbg61ul19e_66","","dga","","3","4","","","","","","","","","","","","Communities","l","MEDA"
"Zambogu-Tietaamaali","","LB-2_vbg61ul19e_67","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Chaang-Sigriminga B","","LB-2_vbg61ul19e_68","","dga","","3","3","","","","","","","","","","","","Communities","l","MEDA"
"Chaang-Siriminga A","","LB-2_vbg61ul19e_69","","dga","","3","4","","","","","","","","","","","","Communities","l","MEDA"
"i2-9","","LB-2_vbg61ul19e_6c","","dga","","2","10","","","","","","","","","","","","TB Categories","l","MEDA"
"2-9","","LB-2_vbg61ul19e_6d","","dga","","2","1","","","","","","","","","","","","TB Categories","l","MEDA"
"PENETOBO-TOOZORADONG","","LB-2_kipjhmhc9s_4c","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"SAZIE-TONKABANYE GROUP B","","LB-2_kipjhmhc9s_4d","","ssl","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"ZAMBOGU - OLAPAGEE","","LB-2_kipjhmhc9s_4e","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"IKAA - PIINA#1","","LB-2_kipjhmhc9s_4f","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"IRIKAA - PARPOMO","","LB-2_kipjhmhc9s_4g","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"KANYIR#2 - SAMOA","","LB-2_kipjhmhc9s_4h","","dga","","2","4","","","","","","","","","","","","Communities","l","MEDA"
"KARIME-INYE - TAYAGURI","","LB-2_kipjhmhc9s_4i","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"KARIMEN-MELNYE - KOGRI#1","","LB-2_kipjhmhc9s_4j","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"LANGTAA - TAMPUORI","","LB-2_kipjhmhc9s_4k","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"N-DABANKALE- PIINA","","LB-2_kipjhmhc9s_4l","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NINGBAABATIETAA - KPAKYAGA","","LB-2_kipjhmhc9s_4m","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NUORIYEN#2- KPARE","","LB-2_kipjhmhc9s_4n","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NYOGENU - SAMOA GBAL","","LB-2_kipjhmhc9s_4o","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"POGBESONGTAA- PIINA#1","","LB-2_kipjhmhc9s_4p","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"SONTAA - KARNI","","LB-2_kipjhmhc9s_4q","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"TIEMAKANLIENAA - GYANVUURI","","LB-2_kipjhmhc9s_4r","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA - KOGRI#1","","LB-2_kipjhmhc9s_4s","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA- KPARE","","LB-2_kipjhmhc9s_4t","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"TIETAALIANAA - MWOFOPAALA","","LB-2_kipjhmhc9s_4u","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIME-INYE - KPAKYAGA","","LB-2_kipjhmhc9s_4v","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"YELWONTAA - KPAKYAGA","","LB-2_kipjhmhc9s_4w","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"YELWONTAA - TAYAGURI","","LB-2_kipjhmhc9s_4x","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"EKAA MONYUPELL","","LB-2_kipjhmhc9s_4y","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"EKAA- MONYUPELLE","","LB-2_kipjhmhc9s_4z","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"ENYE - KETUO","","LB-2_kipjhmhc9s_50","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"ENYE - MONYUPELLE","","LB-2_kipjhmhc9s_51","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"KPIMER - ZUMUOPARE","","LB-2_kipjhmhc9s_52","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"KYABIERE -TANTUO","","LB-2_kipjhmhc9s_53","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"NAAMWINESONTI- DOMBOLGUAGN","","LB-2_kipjhmhc9s_54","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"NAANGMENSONTI- TANTUO","","LB-2_kipjhmhc9s_55","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA - KETUO","","LB-2_kipjhmhc9s_56","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA - MONYUPELLE","","LB-2_kipjhmhc9s_57","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"TIETAA GROUP 1 - DANBOLGUAGN","","LB-2_kipjhmhc9s_58","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIMI-ENYE - TANTUO","","LB-2_kipjhmhc9s_59","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"TIMILE - NANDOMKPEE","","LB-2_kipjhmhc9s_5a","","dga","","2","2","","","","","","","","","","","","Communities","l","MEDA"
"TIMIPAANYOGNA - TANTUO","","LB-2_kipjhmhc9s_5b","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"ZANINYA - VENNIE","","LB-2_kipjhmhc9s_5c","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"EKANYE - YELEYIRI","","LB-2_vbg61ul19e_6e","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"ENYE - CHOGSIA","","LB-2_vbg61ul19e_6f","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
"ENYE GROUP 1 - CHOCHO","","LB-2_vbg61ul19e_6g","","dga","","2","3","","","","","","","","","","","","Communities","l","MEDA"
