"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"ANC effect of poor ANC","","LB-2_x6g9tv0p3e_r","GHS-Wa Reg (Songs)","dga","","7","136","Song","Pregnant women","","","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
" ANC effects of not going for ANC","","LB-2_x6g9tv0p3e_s","GHS-Wa Reg (Songs)","dga","","8","64","Song","Pregnant women","","","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
"ANC_newnatal death","","LB-2_x6g9tv0p3e_t","GHS-Wa Reg (Songs)","dga","","7","51","Song","Pregnant women","","","","GHS-Women Group","","","","","","Antenatal care","l","UWR"
"User feedback answers on good spacing","TB00020d","TB00020d_4F0E99A8","Tugo Yagra-Jirapa","dga","","2","364","","","","","","","","","","","","Planting / Sowing","h","UWR"
"User feedback questions good fertilizer application","TB00020d","TB00020d_4765855D","Tugo Yagra-Jirapa","dga","","1","673","","","","","","","","","","","","General Feedback","l","UWR"
"User feedback questions on why goats die in the rainy season","TB00020d","TB00020d_494D41BB","Tugo Yagra-Jirapa","dga","","2","336","","","","","","","","","","","","General Feedback","h","UWR"
"Talking Book program overview","TB00025a","TB00025a_CC0ECCF2","Non-specific","dga","","1","552","","","","","","","","","","","","General Other","l","UWR"
"New business model","TB00025a","TB00025a_EAD39582","Non-specific","dga","","1","80","","","","","","","","","","","","General Other","l","UWR"
"Drama on Safe Delivery and Exclusive Breastfeeding","ECH_0172","H_0172_FC0929CA","Ving-Ving Drama Group","dga","","3","754","","","2013-07-17","","2013-03:0064","HH Rotation 0:Day 08","","","","","","Antenatal care","l","UWR"
"Song on Malaria Prevention","ECH_0172","H_0172_2102B06F","Ving-Ving-Jirapa ","dga","","5","382","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","Malaria","l","UWR"
"Song on Importance of ANC Visits","ECH_0172","H_0172_E6810A5B","Ving-Ving-Jirapa ","dga","","5","326","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","Antenatal care","l","UWR"
"Song on Why Pregnant Women Should Deliver at the Hospital","ECH_0172","H_0172_B7DF07D1","Ving-Ving-Jirapa ","dga","","3","416","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","Antenatal care","l","UWR"
"Song on Why Pregnant or Nursing Mothers Should Sleep under Bednets","ECH_0172","H_0172_A389E237","Ving-Ving-Jirapa ","dga","","7","247","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","Malaria, Antenatal care","l","UWR"
"Song on Importance of Colostrums","ECH_0172","H_0172_39E391C4","Ving-Ving-Jirapa ","dga","","4","417","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","Neonatal care, Nutrition","l","UWR"
"6. Song on hospital treatment as an alternative","ECH_0172","H_0172_4A1E42E8","Ving-Ving-Jirapa ","dga","","3","191","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","General Health","l","UWR"
"Song on HIV/AIDS causes","ECH_0172","H_0172_0762B3EF","Ving-Ving-Jirapa ","dga","","4","869","Song","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","HIV/Aids","l","UWR"
"8. Song on importance of family planning","ECH_0172","H_0172_13D89C9D","Ving-Ving-Jirapa ","dga","","2","240","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","Family planning","l","UWR"
"9. Song advising nursing mothers on need to go for ANC","ECH_0172","H_0172_DB2B7934","Ving-Ving-Jirapa ","dga","","2","171","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","Antenatal care","l","UWR"
"10. Song on alcoholims in men","ECH_0172","H_0172_0B6DE5B9","Ving-Ving-Jirapa ","dga","","4","206","","","2013-07-17","","2013-03:0068","HH Rotation 0:Day 08","","","","","","General Health","l","UWR"
"6. Sixth song title","ECH_0172","H_0172_D79163E2","Ving-Ving-Jirapa ","dga","","1","5","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"6. Sixth song summary","ECH_0172","H_0172_7797845B","Ving-Ving-Jirapa ","dga","","1","120","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"7. Seventh song title","ECH_0172","H_0172_A3CD6570","Ving-Ving-Jirapa ","dga","","1","4","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"7. Seventh song summary","ECH_0172","H_0172_E9D2D740","Ving-Ving-Jirapa ","dga","","1","451","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"8. Eigth song title","ECH_0172","H_0172_E6519003","Ving-Ving-Jirapa ","dga","","2","4","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"8. Eight song summary","ECH_0172","H_0172_DB570B79","Ving-Ving-Jirapa ","dga","","1","347","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"9. Nineth song title","ECH_0172","H_0172_A6C35D84","Ving-Ving-Jirapa ","dga","","1","6","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"9. Nineth song summary","ECH_0172","H_0172_C7C9E418","Ving-Ving-Jirapa ","dga","","1","230","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"10. Tenth song title","ECH_0172","H_0172_9F1F146C","Ving-Ving-Jirapa ","dga","","1","3","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"10. Tenth song summary","ECH_0172","H_0172_FB249740","Ving-Ving-Jirapa ","dga","","1","434","","","2013-07-23","","2013-03:0101","HH Rotation 0:Day 14","","","","","","General Other","l","UWR"
"Transplanting Message","TB000248","TB000248_372AB558","Saabaalong-Jirapa","dga","","2","490","","","2013-07-25","","2013-03:0011","HH Rotation 0:Day 03","","","","","","General Agriculture","l","UWR"
"Harvesting /Storage Activities","TB000248","TB000248_832E1540","Saabaalong-Jirapa","dga","","3","992","","","2013-07-25","","2013-03:0011","HH Rotation 0:Day 03","","","","","","General Agriculture","l","UWR"
"Compost Preparation/ Animal Droppings' Importance","TB000248","TB000248_EF036389","Saabaalong-Jirapa","dga","","2","1241","","","2013-07-25","","2013-03:0012","HH Rotation 0:Day 03","","","","","","General Agriculture","l","UWR"
"Castration and its Importance","TB000248","TB000248_7750AD79","Saabaalong-Jirapa","dga","","3","624","","","2013-07-25","","2013-03:0012","HH Rotation 0:Day 03","","","","","","General Livestock","l","UWR"
"Stopping Traditional Birth Practices and Pursuing Modern Birth Practices","ECH_0200","H_0200_9D10ACE1","Tugo Yagra-Jirapa ","dga","","3","1374","","","2013-07--c.","","2013-03:0102","HH Rotation 0:Day -b,","","","","","","Neonatal care","l","UWR"
"Involving Husbands and Preparing for a Hospital Delivery","ECH_0200","H_0200_C7321283","Tugo Yagra-Jirapa ","dga","","2","732","","","2013-07--c.","","2013-03:0102","HH Rotation 0:Day -b,","","","","","","Antenatal care","l","UWR"
"Proper Storage of Groundnuts and Millet","ECH_0200","H_0200_6A0564FF","Tugo Yagra-Jirapa ","dga","","4","819","Interview","","2013-07--d*","","2013-03:0106","HH Rotation 0:Day -c(","","https://www.dropbox.com/s/rphu3ueji2u9pcm/Proper%20Storage%20of%20Groundnuts%20and%20Millet.rtf","","","","Storing","l","UWR"
"Education on Bush Burning","ECH_0200","H_0200_475C02E9","Tugo Yagra-Jirapa ","dga","","3","484","","","2013-07--d*","","2013-03:0106","HH Rotation 0:Day -c(","","https://www.dropbox.com/s/vbisu2oveka4m85/Education%20on%20Bush%20Burning.rtf","","","","General Agric Process","l","UWR"
"Dry Season Farming","ECH_0200","H_0200_EE2A5A68","Tugo Yagra-Jirapa ","dga","","2","797","","","2013-07--d*","","2013-03:0106","HH Rotation 0:Day -c(","","","","","","General Agriculture","l","UWR"
"Diseases that Attack Poultry in the Dry Season","ECH_0200","H_0200_A727324D","Tugo Yagra-Jirapa ","dga","","4","940","","","2013-07--d*","","2013-03:0106","HH Rotation 0:Day -c(","","https://www.dropbox.com/s/m38nsjmb016robb/Diseases%20that%20Attack%20Poultry%20in%20the%20Dry%20Season.rtf","","","","Chickens/Fowl","l","UWR"
"Making rotation effective in communities","ECH_0200","H_0200_4D35CB4D","Tugo Yagra-Jirapa ","dga","","2","575","","","2013-07--d/","","2013-03:0107","HH Rotation 0:Day -c-","","","","","","General Feedback","l","UWR"
"Drama on Importance of ANC/PNC visits","TB0003b9","TB0003b9_7030F947","Zengpeni-Jirapa","dga","","2","1022","","","2013-07-29","","2013-03:0004","HH Rotation 0:Day 01","","","","","","General Feedback","l","UWR"
"Family planning song","TB000257","TB000257_33054EE0","Non-specific","dga","","2","553","Song","","","","","","","","","","","General Feedback","l","UWR"
"Spreading compost manure on lands","TB000257","TB000257_9303335D","Non-specific","dga","","2","605","","","","","","","","https://www.dropbox.com/s/bppc3rbhtcvuqvn/Spreading%20compost%20manure%20on%20lands.rtf","","","","General Feedback","l","UWR"
"Importance of livestock/poultry rearing","TB000257","TB000257_77B06067","Non-specific","dga","","1","871","","","","","","","","","","","","General Feedback","l","UWR"
"Family planning song summary","TB000257","TB000257_E812696D","Non-specific","dga","","1","543","","","","","","","","","","","","General Feedback","l","UWR"
"TB endorsement message","TB00026a","00026a_37026DC8","LB message ","dga","","2","129","","","2013-07-10","","2013-03:0005","HH Rotation 0:Day 01","","","","","","General Other","l","UWR"
"Education on Bush Burning-louder","","LB-2_csqnk54ls6_4r","","dga","","2","484","","","","","","","","","","","","General Agric Process","l","UWR"
"Education on Bush Burning-loudest","","LB-2_csqnk54ls6_4s","","dga","","2","484","","","","","","","","","","","","General Agric Process","l","UWR"
"Salt Lick Preparation and Importance","","LB-2_csqnk54ls6_4t","","en","","3","734","","","","","","","","","","","","General Livestock","l","UWR"
"Summary of HIV/AIDS Song","TB00026a","TB00026a_4D37DB3B","Zengpeni-Jirapa ","dga","","2","728","","","2013-07-10","","2013-03:0006","HH Rotation 0:Day 01","","","","","","General Feedback","l","UWR"
"Nindoo-waala-JIrapa","TB000330","TB000330_F62A7D4F","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Lang-uolo-JIrapa","TB000330","TB000330_FF2F3F91","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Ping-JIrapa","TB000330","TB000330_593923FD","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Proper weeding and weedicide use","TB000394","TB000394_69066300","MOFA-Jirapa","dga","","9","986","Interview","Farmers","2014-03-29","","","","","https://www.dropbox.com/s/9gd38cr4tczjnti/PROPER%20WEEDING%20AND%20WEEDICIDE%20USE.docx","","","","General Agriculture","l","UWR"
"Spraying to prevent insects infesting crops","TB000394","TB000394_2A01F435","MOFA-Jirapa","dga","","10","978","Interview","Farmers","2014-03-29","","","","","https://www.dropbox.com/s/gmfo0ov5eobg85p/SPRAYING%20TO%20PREVENT%20INSECTS%20INFECTION.docx","","","","General Agriculture","l","UWR"
"Fertilizer: Chemical Fertilizer and Manure/Compost","TB000394","TB000394_00093ABD","MOFA-Jirapa","dga","","10","1036","Interview","Farmers","2014-03-29","","","","","https://www.dropbox.com/s/572xdvp1woay12z/Fertilizer%20Chemical%20Fertilizer%20and%20ManureCompost.docx","","","","General Agriculture","l","UWR"
"Fertilizer & Manure: Proper methods of application","TB000394","TB000394_5E1589C0","MOFA-Jirapa","dga","","8","741","Interview","Farmers","2014-03-29","","","","","https://www.dropbox.com/s/d93y4a7p0lxezhq/FERTILIZER%20AND%20MANURE%20APPLICATION.docx","","","","Planting / Sowing","l","UWR"
"Overview of current agric activities","TB000394","TB000394_374FA048","MOFA-Jirapa","dga","","8","389","Interview","Farmers","2014-03-29","","","","","https://www.dropbox.com/s/dw3m5jnmfnj415t/OVERVIEW%20OF%20FARMING%20ACTIVITIES.docx","","","","General Agriculture","l","UWR"
"Land Preparation: Riges Instead of Mounds","TB000394","TB000394_79CCFCB0","MOFA-Jirapa","dga","","6","828","Interview","","2014-03-29","","","","","","","","","General Agriculture","l","UWR"
"Seed Acquisition: Purchasing Seeds & New Varieties","TB000394","TB000394_3FE0D588","MOFA-Jirapa","dga","","6","560","Interview","","2014-03-29","","","","","","","","","General Agriculture","l","UWR"
"Seed Acquisition: Germination Test","TB000394","TB000394_B37860D8","MOFA-Jirapa","dga","","7","506","Interview","Farmers","2014-03-29","","","","","","","","","General Agriculture","l","UWR"
"Proper Methods of Sowing","TB000394","TB000394_C67AC488","MOFA-Jirapa","dga","","10","733","Interview","Farmers","2014-03-29","","","","","","","","","General Agriculture","l","UWR"
"Proper housing for goats, sheep, pigs and poultry","TB000394","TB000394_E5662658","MOFA-Jirapa","dga","","9","504","Interview","Farmers","2014-03-29","","","","","https://www.dropbox.com/s/ozyk1257dse3ygi/PROPER%20HOUSING%20FOR%20GOATS.docx","","","","General Livestock","l","UWR"
"Vaccination and immunization of livestock","TB000394","TB000394_0E092CD3","MOFA-Jirapa","dga","","9","749","Interview","Farmers","2014-03-29","","","","","https://www.dropbox.com/s/zhusivmzybwokra/VACCINATION%20AND%20IMMUNIZATION%20OF%20LIVESTOCK.docx","","","","General Livestock","l","UWR"
"0","","LB-2_x6g9tv0p3e_2","","dga","","6","1","","","","","","","","","","","","TB System","l","UWR"
"1","","ECH_0236_2A7D05A8","ECH_0236","dga","","2","6","","","","","","","","","","","","TB System","h","UWR"
"2","","TB00027a_C5261C83","TB00027a","dga","","1","12","","","","","","","","","","","","TB System","h","UWR"
"3","","MOFA0018_B536DAA5","MOFA0018","dga","","1","5","","","","","","","","","","","","TB System","h","UWR"
"4","","ECH_0236_6FF39CE0","ECH_0236","dga","","2","5","","","","","","","","","","","","TB System","h","UWR"
"5","","LB-2_csqnk54ls6_7g","","dga","","2","9","","","","","","","","","","","","TB System","h","UWR"
"6","","ECH_0236_F51DA038","ECH_0236","dga","","2","3","","","","","","","","","","","","TB System","h","UWR"
"9","","TB00027a_4549DA22","TB00027a","dga","","1","13","","","","","","","","","","","","TB System","h","UWR"
"10","","LB-2_csqnk54ls6_7h","","dga","","2","2","","","","","","","","","","","","TB System","h","UWR"
"11","","LB-2_csqnk54ls6_7i","","dga","","2","4","","","","","","","","","","","","TB System","h","UWR"
"16","","LB-2_csqnk54ls6_7j","","dga","","2","5","","","","","","","","","","","","TB System","h","UWR"
"17","","TB00027a_1A506C5E","TB00027a","dga","","1","8","","","","","","","","","","","","TB System","h","UWR"
"18","","ECH_0236_7D22C790","ECH_0236","dga","","2","19","","","","","","","","","","","","TB System","h","UWR"
"19","","TB00027a_05AD5DFB","TB00027a","dga","","1","16","","","","","","","","","","","","TB System","h","UWR"
"20","","ECH_0236_C5DA6388","ECH_0236","dga","","2","12","","","","","","","","","","","","TB System","h","UWR"
"21","","ECH_0236_4DE6D390","ECH_0236","dga","","2","10","","","","","","","","","","","","TB System","h","UWR"
"22","","ECH_0236_FD6CFD90","ECH_0236","dga","","2","15","","","","","","","","","","","","TB System","h","UWR"
"23","","TB00027a_61187BCE","TB00027a","dga","","1","19","","","","","","","","","","","","TB System","h","UWR"
"24","","ECH_0236_FD0EAB40","ECH_0236","dga","","2","8","","","","","","","","","","","","TB System","h","UWR"
"25","","TB00027a_5B272E06","TB00027a","dga","","1","7","","","","","","","","","","","","TB System","h","UWR"
"26","","ECH_0236_F7C3D060","ECH_0236","dga","","2","24","","","","","","","","","","","","TB System","h","UWR"
"28","","LB-2_csqnk54ls6_7k","","dga","","2","11","","","","","","","","","","","","TB System","h","UWR"
"29","","TB00027a_EB56B2E3","TB00027a","dga","","1","8","","","","","","","","","","","","TB System","h","UWR"
"33","","ECH_0236_2BBD4825","ECH_0236","dga","","2","6","","","","","","","","","","","","TB System","h","UWR"
"37","","LB-2_csqnk54ls6_7l","","dga","","2","2","","","","","","","","","","","","TB System","h","UWR"
"38","","ECH_0236_A972A790","ECH_0236","dga","","2","2","","","","","","","","","","","","TB System","h","UWR"
"41","","TB00027a_1D14C643","TB00027a","dga","","1","6","","","","","","","","","","","","TB System","h","UWR"
"53","","ECH_0236_6D5D67A8","ECH_0236","dga","","2","6","","","","","","","","","","","","TB System","h","UWR"
"54","","TB00027a_6F36A198","TB00027a","dga","","1","9","","","","","","","","","","","","TB System","h","UWR"
"61","","ECH_0236_1783BAD8","ECH_0236","dga","","2","4","","","","","","","","","","","","TB System","h","UWR"
"62","","LB-2_csqnk54ls6_7m","","dga","","2","17","","","","","","","","","","","","TB System","h","UWR"
"63","","ECH_0236_A30A2178","ECH_0236","dga","","2","8","","","","","","","","","","","","TB System","h","UWR"
"65","","ECH_0236_62FD8DD8","ECH_0236","dga","","2","9","","","","","","","","","","","","TB System","h","UWR"
"80","","TB00027a_542B85A4","TB00027a","dga","","1","6","","","","","","","","","","","","TB System","h","UWR"
"$0-1","","ECH_0236_1F434498","ECH_0236","dga","","5","2","","","","","","","","","","","","TB Categories","h","UWR"
"0-0","","ECH_0236_C35E4320","ECH_0236","dga","","4","2","","","","","","","","","","","","TB Categories","h","UWR"
"1-0","","ECH_0236_1206E329","ECH_0236","dga","","4","2","","","","","","","","","","","","TB Categories","h","UWR"
"1-2","","ECH_0236_DA533750","ECH_0236","dga","","3","2","","","","","","","","","","","","TB Categories","h","UWR"
"2-0","","ECH_0236_8730094E","ECH_0236","dga","","5","2","","","","","","","","","","","","TB Categories","h","UWR"
"4-0","","ECH_0236_8A6E48D2","ECH_0236","dga","","3","2","","","","","","","","","","","","TB Categories","h","UWR"
"9-0","","ECH_0236_47777A56","ECH_0236","dga","","4","2","","","","","","","","","","","","TB Categories","h","UWR"
"i$0-1","","TB00027a_4FCB067E","TB00027a","dga","","2","6","","","","","","","","","","","","TB Categories","h","UWR"
"i0-0","","TB00027a_56DAACD0","TB00027a","dga","","2","5","","","","","","","","","","","","TB Categories","h","UWR"
"i1-0","","TB00027a_349DABEC","TB00027a","dga","","2","5","","","","","","","","","","","","TB Categories","h","UWR"
"i1-2","","TB00027a_A2D33A95","TB00027a","dga","","2","5","","","","","","","","","","","","TB Categories","h","UWR"
"i2-0","","TB00027a_40C50378","TB00027a","dga","","2","4","","","","","","","","","","","","TB Categories","h","UWR"
"i4-0","","LB-2_csqnk54ls6_7n","","dga","","4","4","","","","","","","","","","","","TB Categories","h","UWR"
"i9-0","","TB00027a_78FAD0AE","TB00027a","dga","","2","4","","","","","","","","","","","","TB Categories","h","UWR"
"Kure-JIrapa","TB000330","TB000330_7206115B","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Nachenyiri-JIrapa","TB000330","TB000330_9213A4DB","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Tankuri-JIrapa","TB000330","TB000330_9A1C88F6","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Guri-JIrapa","TB000330","TB000330_B121B7D9","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Tampaala-JIrapa","TB000330","TB000330_AB513228","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Zaghe-JIrapa","TB000330","TB000330_E1598008","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Tizza Komporo-JIrapa","TB000330","TB000330_77626EA7","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Nambeg-JIrapa","TB000330","TB000330_F968A3EE","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Naale-JIrapa","TB000330","TB000330_D8713A2D","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Mwofo #1-JIrapa","TB000330","TB000330_E579105C","Zengpeni-Jirapa ","dga","","4","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","0","Communities","l","UWR"
"Tizza Bacholglo-JIrapa","TB000330","TB000330_487E15B5","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Sawali-JIrapa","TB000330","TB000330_288BA7F6","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Siiri-JIrapa","TB000330","TB000330_218FEEA4","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Tampoe-JIrapa","TB000330","TB000330_63A34D73","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Bombaa-JIrapa","TB000330","TB000330_89A8DF02","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Balanta-Chachaa-JIrapa","TB000330","TB000330_34B2D2B0","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Doggoh-JIrapa","TB000330","TB000330_62B86644","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Wulling-JIrapa","TB000330","TB000330_A0C29747","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Kakala-JIrapa","TB000330","TB000330_98D1B611","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Tugo Central-JIrapa","TB000330","TB000330_7DD7D2D4","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Ul-Tuopari-JIrapa","TB000330","TB000330_00DD7AA9","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Yagha Central-JIrapa","TB000330","TB000330_D8E93EB1","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Tie-JIrapa","TB000330","TB000330_F3F231D0","Zengpeni-Jirapa ","dga","","2","2","","","2013-07-13","","2013-03:0008","HH Rotation 0:Day 04","","","","","","Communities","l","UWR"
"Summary of new varieties","TB000330","TB000330_8B03E3A5","Zengpeni-Jirapa ","dga","","2","54","","","2013-07-14","","2013-03:0010","HH Rotation 0:Day 05","","","","","","General Feedback","l","UWR"
"Summary of chemicals for spraying","TB000330","TB000330_282844BC","Zengpeni-Jirapa ","dga","","1","100","","","2013-07-14","","2013-03:0010","HH Rotation 0:Day 05","","","","","","General Feedback","l","UWR"
"Awareness of Talking Book Agric Program/Content","TB000330","TB000330_9F5F261A","Zengpeni-Jirapa ","dga","","3","371","Lecture","","2013-07-14","","2013-03:0010","HH Rotation 0:Day 05","","","","","","General Feedback","l","UWR"
"Uol-kuu-JIrapa","TB000394","TB000394_1E21EE0F","UNKNOWN","dga","","2","2","","","2013-07-©6","","UNKNOWN:0081","HH Rotation 0:Day ¬2","","","","","","Communities","l","UWR"
"Mwofo #2-JIrapa","TB000394","TB000394_E1383574","UNKNOWN","dga","","4","2","","","2013-07-©6","","UNKNOWN:0081","HH Rotation 0:Day ¬2","","","","","0","Communities","l","UWR"
"Guoripuo-JIrapa","TB000394","TB000394_CB426F1A","UNKNOWN","dga","","4","2","","","2013-07-©6","","UNKNOWN:0081","HH Rotation 0:Day ¬2","","","","","0","Communities","l","UWR"
"Guo-JIrapa","TB000394","TB000394_2C4DD30C","UNKNOWN","dga","","2","1","","","2013-07-©6","","UNKNOWN:0081","HH Rotation 0:Day ¬2","","","","","","Communities","l","UWR"
"Konzokala-JIrapa","TB000394","TB000394_AF612A24","UNKNOWN","dga","","2","2","","","2013-07-©6","","UNKNOWN:0081","HH Rotation 0:Day ¬2","","","","","","Communities","l","UWR"
"Sigre-JIrapa","TB000394","TB000394_0D7B0E84","UNKNOWN","dga","","2","2","","","2013-07-©6","","UNKNOWN:0081","HH Rotation 0:Day ¬2","","","","","","Communities","l","UWR"
"Tizza Saadone-JIrapa","TB000394","TB000394_93B324BC","UNKNOWN","dga","","2","2","","","2013-07-©6","","UNKNOWN:0081","HH Rotation 0:Day ¬2","","","","","","Communities","l","UWR"
"Summary of Fertizer &Manure proper application","TB000394","TB000394_1E0224F8","UNKNOWN","dga","","1","95","","","2013-07-ª5","","UNKNOWN:0082","HH Rotation 0:Day ­1","","","","","","General Feedback","l","UWR"
"To answer a survey question about this message, press the black circle","TBJir016","TBJir016_4E3223F9","UNKNOWN","dga","","1","8","","","2013-06-05","","UNKNOWN:0003","HH Rotation 0:Day 01","","","","","","General Feedback","l","UWR"
"Summary of vaccination message","TBJir016","TBJir016_7841B186","UNKNOWN","dga","","2","114","Interview","","2013-06-05","","UNKNOWN:0007","HH Rotation 0:Day 01","","","","","","General Livestock","l","UWR"
"Vaccination and immunization of livestock-with-summary","","LB-2_csqnk54ls6_7p","","dga","","9","979","Interview","","","","","Mavis Derigobaa","","https://www.dropbox.com/s/zhusivmzybwokra/VACCINATION%20AND%20IMMUNIZATION%20OF%20LIVESTOCK.docx","","","","General Livestock","l","UWR"
"Seed Acquisition_ Purchasing Seeds & New Varieties-with summary","","LB-2_csqnk54ls6_7q","","dga","","2","615","","","","","","","","","","","","General Agriculture","l","UWR"
"Proper weeding and weedicide use-with summary","","LB-2_csqnk54ls6_7r","","dga","","2","1088","","","","","","","","","","","","General Agriculture","l","UWR"
"Fertilizer & Manure_ Proper methods of application-with summary","","LB-2_csqnk54ls6_7s","","dga","","2","722","","","","","","","","","","","","General Agriculture","l","UWR"
"May/June Agric and Livestock messages","TB0002e7","TB0002e7_E3240AB5","Jeffiri-Jirapa ","dga","","2","5","Lecture","","2013-07-10","","2013-03:0000","HH Rotation 0:Day 01","","","","","","OLD-TB Update Intros","l","UWR"
"Health short message","TB0002e7","TB0002e7_D32FDCC8","Jeffiri-Jirapa ","dga","","2","37","Lecture","","2013-07-10","","2013-03:0000","HH Rotation 0:Day 01","","","","","","General Health","l","UWR"
"Mwofopaala-JIrapa","UNKNOWN","UNKNOWN_D203725D","Communities","dga","","3","2","","","k815/02/28","",":0004","HH Rotation 0:Day 002","","","","","","Communities","l","UWR"
